Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burundi,BDI,2992893,3045392,3098852,3154474,3212864,3275465,3341476,3406650,3465190,3513499,3549864,3577187,3602204,3634284,3680401,3742452,3819115,3910124,4014190,4129997,4257303,4395560,4542467,4695065,4850597,5008201,5166403,5321108,5467413,5601720,5724030,5835071,5933293,6017127,6086751,6140258,6181493,6223515,6283662,6374347,6499653,6656071,6838764,7039534,7251424,7474363,7707781,7943385,8170853,8382849,
Cambodia,KHM,5564215,5697598,5836139,5983575,6141404,6310320,6485769,6657435,6811663,6937996,7039481,7118136,7162333,7157572,7097800,6972559,6796368,6618684,6506208,6505693,6636869,6883519,7211815,7570081,7919802,8250479,8571130,8885701,9203893,9531928,9868226,10205755,10539239,10862069,11169233,11458858,11731187,11986128,12224414,12446949,12653684,12845222,13024171,13193961,13357574,13515884,13669857,13822644,13977903,14138255,
Cameroon,CMR,5525481,5647721,5775774,5909450,6048706,6193834,6345309,6503500,6668834,6841763,7022124,7210272,7407756,7616558,7837926,8072879,8320635,8578425,8842355,9109727,9379109,9651552,9929831,10218016,10518855,10832919,11158600,11493770,11835344,12180819,12529904,12882506,13236573,13589699,13940337,14287475,14631908,14976200,15324051,15678269,16039737,16408085,16783366,17165267,17553589,17948395,18350022,18758778,19175028,19598889,
Canada,CAN,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21645535.17,21993630.79,22369407.51,22774087.28,23209000,23518000,23796000,24036000,24277000,24593000,24900000,25202000,25456000,25702000,25942000,26204000,26550000,26895000,27379000,27791000,28171681.96,28519597.36,28833410.36,29111906.4,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32649000,32976000,33311400,33739900,34108752,
Cape Verde,CPV,215792,221343,227430,233809,240301,246724,253087,259610,266624,274282,282888,292150,300922,307657,311349,311403,308423,304077,300726,300047,302737,308230,315410,322560,328481,332775,335966,338857,342646,348165,355655,364727,374820,385101,394946,404166,412893,421203,429278,437238,445096,452740,460031,466784,472883,478267,483023,487371,491621,495999,
Cayman Islands,CYM,8277,8418,8524,8612,8701,8787,8875,9002,9216,9545,10004,10581,11253,11990,12764,13578,14432,15290,16110,16861,17524,18116,18702,19366,20172,21141,22253,23475,24752,26048,27363,28710,30074,31437,32792,34096,35361,36704,38284,40195,42501,45117,47815,50273,52268,53712,54679,55295,55763,56230,
Central African Republic,CAF,1529237,1556665,1585774,1616524,1648838,1682880,1718560,1755258,1792147,1828709,1864764,1900723,1937410,1975985,2017362,2061466,2108232,2158547,2213492,2273630,2339759,2411176,2485120,2557808,2626638,2690250,2749702,2807768,2868515,2934777,3007347,3084958,3165869,3247456,3327710,3406451,3484027,3559604,3632287,3701607,3767068,3829238,3890075,3952281,4017880,4087534,4160940,4237961,4318128,4401051,
Chad,TCD,3017366,3083054,3150606,3219259,3288547,3357972,3427888,3499681,3575273,3655905,3742580,3834574,3929341,4023300,4114094,4201073,4285738,4370560,4459072,4554089,4656116,4765160,4882913,5011242,5151339,5304490,5470211,5645708,5826974,6011224,6197766,6387856,6583079,6785842,6998108,7219081,7448585,7689836,7946982,8222327,8517944,8831199,9153893,9474792,9785902,10084087,10371839,10653762,10937089,11227208,
Channel Islands,CHI,110381,111448,112582,113765,114974,116200,117437,118676,119910,121126,122338,123534,124649,125599,126335,126821,127101,127299,127585,128085,128828,129777,130905,132156,133482,134898,136394,137856,139136,140137,140804,141179,141384,141594,141934,142448,143102,143847,144607,145330,145995,146626,147262,147963,148763,149682,150689,151705,152618,153352,
Chile,CHL,7848372,8050234,8254329,8457066,8655738,8849016,9037026,9220343,9400225,9577572,9752949,9925950,10095485,10260027,10418880,10571597,10719748,10867152,11018910,11178817,11348442,11527274,11714442,11908189,12107225,12310666,12518930,12733409,12956088,13187821,13429315,13678373,13929390,14174890,14409416,14630769,14840038,15039162,15231557,15419820,15604200,15783991,15959793,16132209,16301726,16468677,16633254,16795593,16955737,17113688,
China,CHN,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331380000,1338299512,
Colombia,COL,16487391,16984652,17495793,18019927,18555731,19104020,19663029,20225830,20783427,21329811,21861689,22381887,22898136,23421644,23960605,24517307,25089511,25675364,26271401,26874906,27485678,28104254,28729367,29359535,29993539,30630754,31270841,31913250,32557521,33203321,33849971,34497319,35146220,35797965,36453337,37112621,37775054,38439099,39102653,39764166,40422597,41078136,41731914,42385712,43040558,43696540,44352327,45005782,45654044,46294841,
Comoros,COM,196605,200199,203916,207856,212097,216728,221755,227075,232529,238032,243481,249000,254997,262030,270467,280464,291816,304071,316582,328861,340778,352416,363759,374852,385740,396391,406798,417077,427392,437876,448576,459515,470765,482401,494486,507062,520151,533754,547864,562469,577569,593170,609271,625876,642974,660559,678602,697034,715774,734750,
"Congo, Dem. Rep.",COD,15767376,16181202,16612368,17065408,17543319,18048341,18579012,19130171,19694467,20267009,20845085,21431338,22032669,22658905,23316776,24011465,24740389,25493382,26255837,27018690,27781042,28551259,29341286,30167580,31044153,31963766,32927332,33965482,35117790,36406226,37856212,39443819,41081774,42650247,44067369,45295039,46369335,47373590,48429878,49626200,50989424,52491329,54098245,55754885,57420522,59088415,60772175,62474901,64204304,65965795,
"Congo, Rep.",COG,1039961,1067597,1096480,1126584,1157905,1190402,1224134,1259319,1296244,1335088,1375987,1418826,1463231,1508675,1554793,1601410,1648671,1696922,1746676,1798285,1851889,1907330,1964298,2022343,2081152,2140687,2201097,2262489,2325035,2388902,2453938,2520196,2588270,2658948,2732706,2810118,2890841,2973329,3055437,3135773,3213330,3288923,3365171,3445765,3533177,3628561,3730612,3836339,3941454,4042899,
Costa Rica,CRI,1381414,1430880,1481575,1532386,1582482,1631723,1680257,1727922,1774614,1820379,1865039,1908913,1953184,1999429,2048812,2101762,2158073,2217457,2279362,2343345,2409385,2477549,2547555,2619058,2691778,2765657,2840660,2916566,2993136,3070240,3147451,3224849,3303412,3384498,3468918,3557095,3648263,3740578,3831504,3919180,4002946,4083197,4160438,4235605,4309413,4381820,4452608,4522124,4590790,4658887,
Cote d'Ivoire,CIV,3777543,3926909,4085408,4251345,4423736,4602382,4788525,4984378,5192919,5416416,5655462,5909848,6180001,6466158,6768313,7086257,7419474,7767109,8128032,8500985,8885888,9281593,9684478,10089976,10494827,10896269,11294791,11694318,12100741,12517730,12945880,13381799,13820229,14253952,14677200,15089912,15492127,15878555,16242889,16581653,16892864,17180649,17455501,17731840,18020946,18325979,18646754,18987007,19350026,19737800,
Croatia,HRV,4171672,4202104,4231408,4259680,4287000,4313000,4339000,4364000,4387000,4411000,4435000,4457000,4478000,4497000,4514000,4530000,4532000,4556000,4571000,4588000,4608000,4635000,4659000,4680000,4701000,4722000,4740000,4757000,4767000,4780000,4510000,4470000,4640000,4650000,4669000,4494000,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434000,4429078,4424161.464,
Cuba,CUB,7281821,7441909,7609348,7777606,7941840,8099779,8252314,8401476,8550671,8701886,8855989,9010586,9160532,9298895,9420828,9525242,9614061,9689324,9754343,9812223,9862283,9905577,9949046,10001593,10069187,10155111,10256694,10366500,10473701,10570328,10654121,10727088,10790686,10847842,10900795,10949206,10992290,11031429,11068382,11104313,11140168,11175434,11208029,11234970,11254242,11265124,11268687,11266905,11262628,11257979,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144472,139428.4193,133860.2201,128752.1251,128182,130006,131591.0632,134464.6631,137490,139841,141279,141972,142668.3993,
Cyprus,CYP,576469,577768,577992,578710,581056,585400,591398,598592,606224,613735,620987,628140,635261,642496,649918,657685,665676,673386,680130,685510,689265,691792,694146,697782,703752,712396,723434,736531,751100,766663,783189,800707,818858,837205,855424,873277,890758,908059,925504,943294,961482,979874,998134,1015806,1032562,1048272,1063027,1077001,1090473,1103647,
Czech Republic,CZE,9631000,9687000,9726000,9754000,9774000,9789000,9804000,9820000,9839000,9775000,9803000,9846000,9906000,9986000,10060000,10104000,10150000,10193000,10232000,10232000,10264000,10289000,10308000,10322000,10335000,10341000,10348000,10356000,10362000,10363000,10309000,10318000,10331000,10336000,10331000,10315000,10304100,10294900,10283000,10273300,10224000,10204853,10207362,10216016,10235828,10269134,10334160,10424336,10487178,10525090,
Denmark,DNK,4610000,4647000,4684000,4720000,4758000,4798000,4839000,4867000,4891000,4929000,4963000,4992000,5022000,5045000,5060000,5073000,5088000,5104000,5117000,5123000,5122000,5118000,5114000,5112000,5114000,5121000,5127000,5130000,5133000,5140000,5154000,5170000,5189000,5205000,5228000,5262000,5284220,5301000,5319111,5337344,5355082,5374255,5387174,5401177,5415978,5437272,5461438,5493621,5523095,5544139,
Djibouti,DJI,89853,95652,102165,109222,116706,124688,133253,142320,151782,161622,171519,181622,192922,206763,223963,245326,270222,296307,320332,340133,354304,363940,372386,384409,403221,430367,464202,500876,534862,562290,581641,594437,603534,613219,626537,644434,665755,688940,711573,731930,749604,765283,779640,793738,808367,823682,839453,855636,872090,888716,
Dominica,DMA,61034,61983,62918,63920,65037,66304,67681,69041,70212,71076,71567,71737,71745,71811,72092,72648,73412,74240,74922,75312,75374,75166,74747,74212,73637,73022,72365,71740,71240,70926,70842,70962,71181,71350,71364,71184,70846,70419,70003,69672,69447,69301,69200,69087,68925,68700,68434,68159,67922,67757,
Dominican Republic,DOM,3421385,3536474,3653809,3772937,3893484,4015213,4137994,4261702,4386255,4511577,4637627,4764319,4891500,5019002,5146742,5274591,5402683,5531528,5661827,5794074,5928429,6064722,6202698,6341950,6482152,6623094,6764750,6907171,7050480,7194666,7339826,7485619,7631076,7774932,7916309,8054768,8190620,8324680,8458164,8591967,8726256,8860760,8995398,9129965,9264267,9398285,9531954,9664948,9796852,9927320,
Ecuador,ECU,4570153,4706566,4848259,4994917,5146294,5302370,5463176,5628565,5798368,5972464,6150690,6333049,6519792,6711284,6907740,7109119,7315156,7525548,7739894,7957811,8178948,8403034,8629832,8859125,9090592,9323745,9557974,9792658,10027109,10260587,10493498,10725281,10953182,11173647,11384506,11584074,11774005,11959586,12148188,12345023,12552036,12767415,12987992,13208869,13426402,13639708,13849721,14056740,14261566,14464739,
"Egypt, Arab Rep.",EGY,28648825,29408697,30182426,30970067,31771227,32586961,33415926,34252634,35089893,35923283,36751162,37577248,38409289,39258086,40132189,41033408,41961731,42921556,43917526,44952497,46025305,47133557,48276547,49453054,50659625,51899728,53166492,54433720,55667119,56843275,57952386,59004372,60020423,61032081,62063810,63120498,64199588,65309201,66457136,67648419,68888032,70174632,71498433,72844998,74203215,75568453,76941572,78323298,79716203,81121077,
El Salvador,SLV,2859302,2951387,3047718,3146076,3244774,3342957,3440705,3538389,3636782,3736311,3836884,3937757,4037935,4136133,4231358,4323383,4412237,4497535,4578922,4656263,4729467,4798918,4865611,4930893,4995888,5060307,5124240,5189565,5258654,5332842,5413269,5498489,5584047,5663820,5733401,5791403,5839103,5878097,5911094,5940305,5966027,5988233,6008523,6028792,6050513,6074487,6100868,6129628,6160423,6192993,
Equatorial Guinea,GNQ,255100,257941,260991,264745,269429,275472,282446,288703,292015,290907,284913,274893,262377,249569,238240,228534,220448,215415,215116,220582,232676,250712,272217,293701,312634,328119,340825,351694,362325,373887,386536,399843,413730,428005,442527,457321,472486,488039,504001,520380,537195,554429,571999,589794,607739,625777,643936,662327,681115,700401,
Eritrea,ERI,1459988,1497855,1537105,1577613,1619301,1662247,1706539,1752123,1798934,1847000,1896028,1946213,1998632,2054727,2115400,2181178,2251397,2324290,2397387,2468902,2537333,2602966,2667868,2735121,2806456,2884388,2967048,3046674,3112654,3158295,3180430,3184019,3180541,3186063,3212503,3263016,3335157,3428264,3539885,3667576,3812473,3973973,4145500,4318343,4486155,4645837,4798561,4947521,5097998,5253676,
Estonia,EST,1229604.8,1244347.2,1259865.6,1275552,1291000,1306236.8,1321185.6,1335886.4,1350475.2,1365000,1379395.2,1393702.4,1407561.6,1420428.8,1432000,1442318.4,1451265.6,1459444.8,1467824,1477000,1488000,1498000,1509000,1519000,1529000,1540000,1552000,1562000,1568000,1569000,1561000,1533000,1494000,1463000,1437000,1416000,1400000,1386200,1375649.334,1369512.615,1364097.505,1358641.015,1353520.149,1348998.517,1346097,1343547,1341672,1340675,1340271,1339646,
Ethiopia,ETH,23084406,23645508,24234254,24846785,25480202,26128435,26790992,27476546,28197484,28959382,29777985,30642920,31503206,32289683,32958964,33486288,33903618,34294030,34773640,35426282,36282554,37319328,38500829,39768079,41077517,42417873,43802479,45240322,46747612,48333261,49998845,51730288,53502211,55281054,57042197,58774378,60481739,62174171,63868806,65577897,67303731,69040669,70784012,72526620,74263861,75993403,77718436,79446419,81187751,82949541,
Faeroe Islands,FRO,34793,35210,35597,35985,36391,36820,37262,37707,38139,38547,38928,39288,39641,40008,40403,40829,41281,41757,42258,42779,43305,43831,44364,44920,45497,46133,46802,47370,47659,47558,46995,46050,44953,44022,43483,43416,43746,44358,45070,45743,46358,46944,47472,47915,48258,48475,48572,48597,48625,48708,
Fiji,FJI,407137,421563,436199,450447,463885,476334,487922,498903,509680,520555,531631,542846,554147,565426,576634,587565,598298,609387,621579,635297,651006,668259,685461,700434,711703,718535,721637,722753,724404,728390,735262,744396,754981,765725,775651,784713,793165,800685,806927,811718,814780,816336,817339,819102,822553,828046,835267,843651,852323,860623,
Finland,FIN,4461000,4491000,4523000,4549000,4564000,4581000,4606000,4627000,4624000,4606000,4616000,4640000,4666000,4691000,4711000,4726000,4739000,4753000,4765000,4780000,4800000,4827000,4856000,4882000,4902000,4918000,4933000,4951000,4962000,4986000,5014000,5042000,5066000,5089000,5108000,5125000,5139835,5153000,5165446.687,5176197.681,5187995.412,5200596.876,5212995.694,5228143.171,5246096,5266268,5288720,5313399,5338871,5363624,
France,FRA,47229796,47891667,48567068,49212466,49796874,50305536,50747150,51142971,51525991,51919493,52331866,52753462,53168333,53552746,53890965,54177417,54421950,54642919,54866304,55111030,55382757,55676419,55986998,56305397,56624364,56944579,57267262,57586103,57893172,58183174,58454894,58711078,58955673,59194619,59433490,59670985,59909141,60160764,60351778,60762169,61201676,61644062,62078165,62532556,63001253,63437350,63826178,64188219,64542729,64876618.43,
French Polynesia,PYF,81695,84206,86887,89768,92859,96177,99708,103387,107129,110872,114591,118303,122041,125862,129803,133865,138027,142290,146651,151098,155637,160251,164893,169500,174024,178450,182788,187044,191237,195383,199464,203481,207494,211583,215798,220172,224667,229171,233532,237638,241448,245000,248357,251622,254870,258119,261345,264541,267685,270764,
Gabon,GAB,488394,491385,494663,498162,501880,505765,509973,514963,521339,529526,539728,551811,565441,580101,595417,611293,627846,645160,663387,682641,702923,724185,746424,769635,793810,818863,844775,871675,899739,929044,959631,991289,1023531,1055707,1087327,1118215,1148416,1177936,1206862,1235274,1263165,1290532,1317484,1344171,1370729,1397192,1423637,1450310,1477514,1505463,
"Gambia, The",GMB,382164,389768,396158,402436,409450,417350,426005,435647,446488,458663,472432,487790,504267,521186,538110,554910,571891,589570,608680,629786,652817,677685,704894,735056,768460,805491,845642,887224,927937,966151,1001252,1033748,1064522,1094974,1126183,1158308,1191155,1225044,1260283,1297084,1335674,1376035,1417818,1460493,1503678,1547259,1591357,1636107,1681734,1728394,
Georgia,GEO,3703600,3760300,3816100,3870300,3921600,3966700,4005800,4042300,4080300,3967800,4009400,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4861600,4734000,4616100,4531600,4487300,4452500,4418300,4386400,4357000,4328900,4318300,4361200,4398000,4388400,4383700,4410800,4452800,
Germany,DEU,73300000,73939000,74544000,74954000,75639000,76206000,76368000,76584000,77143000,77719000,78363000,78715000,78956000,78979000,78679000,78317000,78166000,78083000,78104000,78303000,78418000,78335000,78122000,77846000,77698000,77728000,77840000,78144000,78752000,79433000,80014000,80624000,81156000,81516000,81642000,81912000,82071000,82047000,82087000,82210000,82333000,82508000,82541000,82516250,82469400,82376451,82266372,82110097,81902307,81702329,
Ghana,GHA,6958364,7179577,7399678,7610752,7807845,7986643,8150359,8310713,8484140,8681818,8911291,9167822,9435673,9692196,9922663,10119038,10290712,10461377,10664342,10922708,11246007,11624726,12039663,12462279,12871965,13261929,13638708,14010951,14392619,14793415,15216133,15655847,16105502,16554855,16996901,17429209,17855250,18281113,18715676,19165490,19632265,20114361,20610897,21119911,21639806,22170556,22712403,23264176,23824402,24391823,
Gibraltar,GIB,21786,22122,22501,22885,23248,23582,23894,24178,24431,24654,24838,24985,25117,25262,25440,25663,25920,26182,26406,26565,26648,26667,26647,26619,26608,26620,26650,26697,26757,26830,26921,27032,27145,27233,27283,27279,27231,27188,27214,27348,27615,27989,28410,28793,29075,29237,29296,29287,29257,29244,
Greece,GRC,8398000,8448000,8480000,8510000,8550000,8614000,8716000,8741000,8773000,8793000,8831000,8889000,8929000,8962000,9047000,9167000,9309000,9430000,9548000,9643000,9729000,9790000,9847000,9896000,9934000,9964000,10001000,10037000,10090000,10161000,10260000,10370000,10466000,10553000,10634000,10709000,10777000,10835000,10883000,10917482,10949957,10987543,11023514,11061701,11103965,11148460,11192763,11237094,11282760,11319048,
Greenland,GRL,33700,35000,36400,37600,39200,40500,41900,43400,44900,46400,47200,48300,49000,49500,49600,49700,49400,49200,49600,50200,51000,51500,52100,52700,53200,53500,54100,54800,55300,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56600,56765,56912,56935,56774,56555,56328,56323,56534,
Grenada,GRD,91243,92408,93338,94050,94561,94858,94937,94846,94649,94393,94140,93896,93588,93108,92408,91386,90134,89011,88508,88936,90504,93015,95903,98359,99824,100062,99296,97978,96785,96200,96368,97113,98212,99313,100163,100707,101039,101219,101354,101522,101731,101954,102195,102455,102734,103037,103368,103723,104097,104487,
Guam,GUM,68835,70441,72202,74044,75911,77789,79687,81598,83522,85459,87402,89350,91316,93322,95380,97496,99669,101903,104204,106572,109001,111489,114050,116705,119464,122333,125288,128260,131157,133914,136518,138981,141304,143492,145559,147481,149279,151065,152987,155147,157596,160292,163121,165918,168565,171024,173334,175538,177707,179896,
Guatemala,GTM,4273585,4391307,4512133,4636016,4762956,4892812,5025681,5162058,5302604,5447687,5597742,5752386,5910205,6069254,6228224,6386403,6544422,6703955,6867413,7036484,7211938,7393131,7578625,7766291,7954682,8143365,8333124,8525211,8721429,8923131,9131088,9345130,9564571,9788284,10015675,10246429,10481515,10723154,10974314,11237101,11512637,11800351,12098576,12404764,12717154,13034904,13358842,13690846,14033623,14388929,
Guinea,GIN,3592879,3645873,3700897,3759549,3822583,3890947,3963201,4034827,4099723,4153653,4195876,4228217,4252351,4270991,4286863,4300114,4312321,4329468,4359115,4406831,4477191,4569938,4679999,4799450,4923603,5045781,5170120,5315182,5506436,5759374,6083795,6466435,6871525,7249558,7565235,7805735,7982155,8112650,8226138,8344486,8472339,8604936,8743954,8889321,9041448,9201941,9373619,9559110,9761217,9981590,
Guinea-Bissau,GNB,595705,597352,598224,598294,597695,596340,594699,594145,596459,602916,613847,628890,647703,669656,694113,721220,750655,780721,809221,834611,856143,874270,890152,905580,921889,939371,957688,976802,996520,1016695,1037431,1058839,1080767,1103003,1125392,1147908,1170619,1193585,1216902,1240655,1264855,1289526,1314795,1340814,1367695,1395492,1424191,1453757,1484120,1515224,
Guyana,GUY,575863,591554,607423,623694,640447,657885,675725,692968,708276,720738,729796,735823,739970,743915,748809,755174,762481,769570,774748,776856,775589,771521,765434,758499,751636,745015,738589,732806,728147,724931,723448,723615,724909,726552,727979,728990,729743,730458,731496,733101,735327,738011,740925,743743,746235,748321,750068,751578,753013,754493,
Haiti,HTI,3944791,4024114,4105331,4188276,4272760,4359031,4446944,4535485,4623315,4709644,4794158,4877645,4961817,5049035,5141143,5238431,5340812,5449236,5564724,5687812,5819084,5957920,6102119,6248634,6395193,6540928,6686182,6831374,6977397,7124877,7273530,7422881,7573160,7724690,7877569,8031903,8187204,8342233,8495358,8645371,8791931,8935252,9075399,9212634,9347262,9479136,9608453,9736332,9864241,9993247,
Honduras,HND,2066098,2136100,2207969,2279568,2349455,2417101,2483231,2549206,2617017,2688208,2763122,2841609,2924118,3011047,3102649,3199231,3300735,3406539,3515736,3627640,3741932,3858691,3978080,4100422,4225870,4354245,4485151,4618245,4753109,4889311,5026843,5165380,5303798,5440691,5575099,5706605,5835607,5963008,6090164,6218151,6347272,6477525,6609337,6743128,6879243,7017769,7158819,7302742,7449923,7600524,
"Hong Kong SAR, China",HKG,3168100,3305200,3420900,3504600,3597900,3629900,3722800,3802700,3863900,3959000,4045300,4123600,4241600,4334200,4461600,4518000,4583700,4667500,4929700,5063100,5183400,5264500,5345100,5397900,5456200,5524600,5590500,5627600,5686200,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6925900,6977700,7003700,7067800,
Hungary,HUN,10029000,10062000,10091000,10124000,10153000,10185000,10224000,10264000,10303000,10337000,10365000,10394000,10436000,10471000,10532000,10589000,10637000,10673000,10698000,10707475,10700112,10683105,10655833,10619374,10579086,10534296,10486429,10442541,10398261,10373988,10373400,10369341,10357522,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10008703,
Iceland,ISL,179000,182000,185000,190000,194000,197000,199000,201000,203000,204000,206000,209000,212000,215000,218000,220000,222000,224000,226000,228000,231000,234000,237000,239000,241000,243000,246000,249900,252700,254800,258000,261100,263800,266000,268000,270000,272000,274000,277500,281000,285000,288000,289521,292074,296734,303782,311566,317414,318499,317398,
India,IND,444470443.2,454584939.2,465132643.2,476060851.2,487324000,498883667.2,510708571.2,522774571.2,535064667.2,547569000,560267504,573129907.2,586219814.4,599642665.6,613459000,627632414.4,642133646.4,656940574.4,672020870.4,687332000,702821222.4,718425590.4,734071950.4,749676942.4,765147000,781893000,798680000,815590000,832535000,849515000,866530000,882821000,899329000,915697000,932180000,948758852.9,965428183.1,982182462.1,999016010.5,1015923000,1032473426,1048640721,1064398612,1079721194,1094583000,1109811147,1124786997,1139964932,1155347678,1170938000,
Indonesia,IDN,94225771,96582241,99018230,101538797,104146696,106839814,109612753,112461009,115379062,118361740,121405753,124507744,127662293,130863441,134105926,137382075,140688052,144026720,147403681,150820044,154275429,157758440,161245684,164706919,168119209,171472345,174767379,178006800,181197879,184345939,187451800,190512441,193525648,196488446,199400339,202257039,205063468,207839287,210610776,213395411,216203499,219026365,221839235,224606531,227303175,229918547,232461746,234951154,237414495,239870937,
"Iran, Islamic Rep.",IRN,22571865,23163924,23775945,24408927,25063612,25743217,26448218,27173692,27912687,28662011,29421198,30197689,31006191,31866190,32793173,33788867,34853522,35998637,37237306,38576541,40012129,41533339,43130529,44790735,46497235,48257311,50052662,51810746,53437770,54870583,56071545,57067645,57940444,58808655,59757114,60815686,61955730,63133032,64278307,65342319,66313553,67212850,68061695,68893323,69732007,70582086,71435498,72289291,73137148,73973630,
Iraq,IRQ,7570069,7773193,7991619,8227763,8483109,8759064,9054873,9367055,9690613,10021785,10358219,10700247,11049889,11410460,11783644,12157292.35,12542788.74,12940508.86,13350840.32,13774183,14137046.07,14509468.29,14891701.5,15284004.15,15686641.5,16158856.7,16645287.01,17146360.33,17662517.47,18194212.5,18706560.72,19233336.65,19774946.56,20331808.18,20904351,21545637.53,22206596.93,22887832.69,23589966.85,24313640.5,24937728.45,25577835.63,26234373.22,26907762.96,27598437.43,28432903.78,29292601.06,30178292.15,31090762.99,32030823.3,
Ireland,IRL,2818000,2830000,2850000,2864000,2876000,2884000,2900000,2913000,2926000,2950000,2978000,3024000,3073000,3124000,3177000,3228000,3272000,3314000,3368000,3401000,3443000,3480000,3504000,3529000,3540000,3541000,3547000,3530700,3509500,3505800,3525700,3549100,3563300,3570700,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4260341,4356931,4425683,4458942,4481430,
Isle of Man,IMN,48357,48585,49094,49822,50717,51780,52999,54294,55559,56717,57717,58567,59331,60102,60945,61904,62938,63923,64684,65112,65132,64820,64407,64209,64448,65226,66450,67904,69265,70313,70963,71305,71484,71724,72183,72908,73832,74870,75892,76803,77577,78246,78840,79410,79994,80598,81203,81798,82358,82869,
Israel,ISR,2185000,2293000,2379000,2475000,2563000,2629000,2745000,2803000,2877000,2974000,3069000,3148000,3278000,3377000,3455000,3533000,3613000,3690000,3786000,3878000,3956000,4031000,4105000,4159000,4233000,4299000,4369000,4442000,4518000,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7624600,
Italy,ITA,50536000,50880000,51252000,51675000,52112000,52519000,52901000,53236000,53538000,53822000,54074000,54381000,54751000,55111000,55441000,55718000,55955000,56155000,56318000,56434000,56502000,56544000,56564000,56577000,56593000,56596000,56602000,56629000,56672000,56719000,56758650,56797650,56832750,56844650,56846100,56862800,56893800,56910950,56921550,56948600,56980700,57157400,57604650,58175300,58607050,58941499,59375289,59832179,60192698,60483521,
Jamaica,JAM,1651915.2,1678467.2,1707019.2,1734763.2,1760000,1783124.8,1803891.2,1823705.6,1844936,1869000,1895628.96,1925162.4,1956079.84,1985852.48,2013000,2037715.84,2059399.04,2080307.04,2104140.64,2133000,2162300,2200100,2240800,2279900,2311100,2335800,2350600,2356400,2374900,2390000,2406041.988,2423043.608,2441023.646,2460002.055,2480000,2509923.425,2534068.675,2556780.051,2574289.364,2589388.551,2604788.619,2617495.224,2625700,2638100,2650400,2663100,2675800,2687200,2695600,2702300,
Japan,JPN,94943000,95832000,96812000,97826000,98883000,99790000,100725000,101061000,103172000,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125761000,126091000,126410000,126650000,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459,
Jordan,JOR,891451.2,943089.6,999392,1060998.4,1128000,1200289.6,1278416,1358918.4,1436516.8,1508000,1573846.4,1633558.4,1689934.4,1747710.4,1810000,1876273.6,1946630.4,2021107.2,2099312,2181000,2267246.4,2359755.2,2455896,2551300.8,2644000,2744000,2846000,2948000,3056000,3170000,3545000,3733000,3905930.646,4060839.761,4195000,4325045,4459121.395,4597400,4680500,4797500,4917500,5038000,5164000,5290000,5411500,5537000,5662000,5787000,5915000,6047000,
Kazakhstan,KAZ,10411040,10819503,11211938,11577537,11909001,12200891,12455366,12682452,12897025,13109992,13325342,13540301,13751019,13950987,14136006,14281735.46,14428967.27,14577716.9,14728000,14898332.25,15070634.42,15244929.3,15421239.94,15599589.65,15780002,15896089.19,16013030.4,16130831.89,16249500,16348000,16450500,16439095.17,16330419,16095198.94,15815626.38,15577894.26,15333703.04,15071300.13,14928425.85,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15673999,15925000,16316050,
